label,group
1465-cerebral-cortex-neuron-12,Neuron
1465-cerebral-cortex-neuron-18,Neuron
1465-cerebral-cortex-neuron-2,Neuron
1465-cerebral-cortex-neuron-20,Neuron
1465-cerebral-cortex-neuron-24,Neuron
1465-cerebral-cortex-neuron-25,Neuron
1465-cerebral-cortex-neuron-3,Neuron
1465-cerebral-cortex-neuron-30,Neuron
1465-cerebral-cortex-neuron-39,Neuron
1465-cerebral-cortex-neuron-46,Neuron
1465-cerebral-cortex-neuron-47,Neuron
1465-cerebral-cortex-neuron-5,Neuron
1465-cerebral-cortex-neuron-6,Neuron
1465-cerebral-cortex-neuron-77,Neuron
1465-cerebral-cortex-neuron-8,Neuron
E16-HEALTHY-HEART,Heart
