label,group
CO8-MA-25,Normal (missorted)
CO8-MA-26,Normal (missorted)
CO8-MA-27,Tumour metastatic
CO8-MA-28,Tumour metastatic
CO8-MA-29,Tumour metastatic
CO8-MA-30,Tumour metastatic
CO8-MA-31,Tumour metastatic
CO8-MA-32,Tumour metastatic
CO8-MA-33,Tumour metastatic
CO8-MA-34,Tumour metastatic
CO8-MA-35,Tumour metastatic
CO8-MA-36,Tumour metastatic
CO8-MA-37,Tumour metastatic
CO8-MA-38,Tumour metastatic
CO8-MA-39,Tumour metastatic
CO8-MA-40,Tumour metastatic
CO8-MA-41,Tumour metastatic
CO8-MA-42,Tumour metastatic
CO8-MA-43,Tumour metastatic
CO8-MA-44,Tumour metastatic
CO8-MA-45,Tumour metastatic
CO8-MA-46,Tumour metastatic
CO8-MA-48,Tumour metastatic
CO8-MA-84,Tumour metastatic
CO8-MA-85,Tumour metastatic
CO8-MA-86,Tumour metastatic
CO8-MA-87,Tumour metastatic
CO8-MA-88,Tumour metastatic
CO8-MA-89,Tumour metastatic
CO8-MA-90,Tumour metastatic
CO8-MA-91,Tumour metastatic
CO8-MA-92,Tumour metastatic
CO8-MA-93,Tumour metastatic
CO8-MA-95,Tumour metastatic
CO8-MD-10,Normal
CO8-MD-11,Normal
CO8-MD-12,Normal
CO8-MD-13,Normal
CO8-MD-3,Normal
CO8-MD-4,Normal
CO8-MD-5,Normal
CO8-MD-8,Normal
CO8-MD-9,Normal
CO8-PA-26,Tumour primary
CO8-PA-27,Normal (missorted)
CO8-PA-28,Tumour primary
CO8-PA-29,Tumour primary
CO8-PA-32,Tumour primary
CO8-PA-38,Tumour primary
CO8-PA-39,Tumour primary
CO8-PA-40,Tumour primary
CO8-PA-41,Tumour primary
CO8-PA-42,Tumour primary
CO8-PA-43,Tumour primary
CO8-PA-46,Tumour primary
CO8-PA-47,Tumour primary
CO8-PA-48,Tumour primary
CO8-PA-49,Tumour primary
CO8-PA-51,Tumour primary
CO8-PA-52,Tumour primary
CO8-PA-53,Tumour primary
CO8-PA-54,Normal (missorted)
CO8-PA-55,Tumour primary
CO8-PA-57,Tumour primary
CO8-PA-58,Tumour primary
CO8-PA-59,Tumour primary
CO8-PA-61,Tumour primary
CO8-PA-62,Tumour primary
CO8-PA-63,Tumour primary
CO8-PA-64,Tumour primary
CO8-PA-65,Tumour primary
CO8-PA-68,Tumour primary
CO8-PA-70,Tumour primary
CO8-PA-71,Tumour primary
CO8-PA-73,Tumour primary
CO8-PA-74,Tumour primary
CO8-PA-77,Tumour primary
CO8-PD-14,Normal
CO8-PD-16,Normal
CO8-PD-17,Normal
CO8-PD-18,Normal
CO8-PD-20,Normal
CO8-PD-5,Normal
CO8-PD-7,Normal
CO8-PD-8,Normal
CO8-PD-9,Normal
