#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="treeLikelihood" implementation="beast.evolution.likelihood.TreeLikelihood" spec="phylonco.beast.evolution.likelihood.TreeLikelihoodWithErrorFast" useAmbiguities="true" useTipLikelihoods="true">
#    <errorModel id="errorModel" spec="phylonco.beast.evolution.errormodel.BinaryErrorModel">
#        <parameter id="error.alpha" lower="0.0" name="alpha" spec="beast.core.parameter.RealParameter" upper="1.0">0.1</parameter>
#        <parameter id="error.beta" lower="0.0" name="beta" spec="beast.core.parameter.RealParameter" upper="1.0">0.1</parameter>
#        <datatype id="datatype" spec="beast.evolution.datatype.Binary"/>
#    </errorModel>
#    <tree id="tree" spec="beast.evolution.tree.Tree">
#        <taxonset id="TaxonSet" spec="beast.evolution.alignment.TaxonSet">
#            <taxon id="1" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="2" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="3" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="4" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="5" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="6" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="7" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="8" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="9" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="10" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="11" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="12" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="13" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="14" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="15" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="16" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="17" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="18" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="19" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="20" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="21" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="22" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="23" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="24" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="25" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="26" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="27" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="28" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="29" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="30" spec="beast.evolution.alignment.Taxon"/>
#        </taxonset>
#    </tree>
#    <siteModel id="siteModel" spec="beast.evolution.sitemodel.SiteModel">
#        <substModel id="subsModel" spec="phylonco.beast.evolution.substitutionmodel.BinarySubstitutionModel">
#            <parameter id="subsModel.lambda" lower="0.0" name="lambda" spec="beast.core.parameter.RealParameter">1.0</parameter>
#        </substModel>
#    </siteModel>
#</input>
#
Sample	treeLikelihood	subsModel.lambda	error.alpha	error.beta	yule.birthrate	tree.height	tree.treeLength
0	-5798.844240603921	0.41521922613823	0.05846386681835839	0.026138199634734006	6.377658233266769	0.5534250761540989	5.572145574704236
2000	-5787.720343786947	0.45250380230997816	0.04241624990058171	0.024060193427072978	5.558114827000056	0.8450284048537591	6.9488176795508165
4000	-5795.079753730319	0.47650908932458774	0.019305848345476675	0.021474744554035093	5.502067853743658	0.6439999447854391	6.488382188819275
6000	-5802.893605595	0.47263744711437927	0.053790054711421044	0.025809509218754093	6.108585180595743	0.5759492784683324	6.24450737460146
8000	-5795.1841353450245	0.4083089183298896	0.03447058194518526	0.030265485803370972	5.083564221790595	0.6201904888061137	6.184135091365117
10000	-5797.101872209017	0.44754819686425623	0.03939609900757858	0.03349342766171114	4.491490336630925	0.5678279800494924	6.177990745542405
12000	-5798.80811763805	0.45969392685254595	0.04169504930512592	0.027657640917543535	5.097237051645287	0.5540423114080884	5.905655725259661
14000	-5790.621679275228	0.40250255333057106	0.03714012599864503	0.031208830061329393	6.789758741016634	0.5954706353823151	6.02103466830016
16000	-5791.213563572889	0.4271336056627421	0.026283262584755728	0.021099304832640314	6.911040579103371	0.6156192278548331	6.2304282596971925
18000	-5800.437166911149	0.4676146148561961	0.05135392144480668	0.02186452676319753	5.831729844702533	0.6547887308219029	6.709502275136961
20000	-5798.180730002471	0.43260036376039496	0.05578968264860543	0.04207199256720394	6.693305796844699	0.5676901800325981	5.932577772692303
22000	-5790.8798471309	0.454821949007691	0.06431472249845147	0.030985543169328833	6.125548523015167	0.6047116997705361	5.934836226753477
24000	-5789.274738859615	0.4136980973684927	0.021851988152237246	0.028992420349557065	5.6339515437813255	0.6310249289302279	6.20638912263298
26000	-5792.525633607376	0.4572952925786454	0.025076304995166613	0.02515316339621745	4.505841238977283	0.6045960675371773	6.338293083374089
28000	-5795.99960827194	0.4216431338019656	0.04865736372717734	0.02641626342115588	6.7581537526885125	0.5960515033682063	6.241808881519528
30000	-5794.059962184995	0.4491016249940377	0.047250554837673854	0.023720116576478552	6.689369305061223	0.735445699707691	6.4065352030077225
32000	-5792.767521321377	0.4095282684044329	0.030695944446217337	0.03131636341500977	6.750437675701314	0.5732312889990318	6.0297384205103555
34000	-5793.102363451914	0.44267370584100246	0.04124242423301394	0.03267371738550063	5.084190838082603	0.6368049883330853	6.22399545076748
36000	-5794.801742486752	0.43414420481749777	0.04204087134221896	0.020049911683685775	6.119559380077204	0.5496656459327756	6.445870193896941
38000	-5798.667905939209	0.44788522564412625	0.008556008801827818	0.004751032697653832	4.448053285137671	0.6896291282372616	7.028763472750611
40000	-5794.297170766953	0.4292292927908767	0.021668623964975396	0.005054264304156197	4.707902129518378	0.6209565723831044	6.795772724937255
42000	-5793.272024989386	0.4091803548113435	0.0033159294738496197	0.019883118954312502	4.953721082631591	0.6358372779987098	6.828198407599568
44000	-5792.694462409557	0.4761074861110243	0.026120830304939148	0.022412806695679507	5.886086265896128	0.5799098398779776	6.232451008759751
46000	-5797.125821647895	0.46986764777035395	0.03141789792010065	0.012587050968229875	6.2711020608639645	0.6813815926489546	6.893857802637294
