trace	likelihood	lambda	alpha	beta	birthrate	treeheight	treelength
mean	-5224.11655599743	0.68840727045409	0.0121654005968473	0.026139896153443	7.02885108343031	0.380380633215651	4.16362618361465
stderr.of.mean	0.155712026700815	0.00133141273902118	0.000277534803280739	0.000252316307909882	0.0258546193312546	0.000936665700320377	0.00854657431235846
stdev	4.36419878143307	0.0399423575148364	0.00680804984379359	0.0057680810072797	0.775638101148244	0.0243114505529991	0.215995243056331
variance	19.0462310038619	0.00159539192384301	4.63495426755779e-05	3.32707585065408e-05	0.601614463952853	0.000591046627990921	0.0466539450229634
median	-5223.79162742466	0.688690955818552	0.0115487722920568	0.0262764025549988	7.00640446641365	0.377889398864504	4.16937932153532
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	0.687252814669172	0.0095573510352139	0.0254556572236669	6.9858472795102	0.379616945749229	4.15800665798717
HPD95.lower	-5232.74231814148	0.608532796214078	3.43103383171772e-05	0.0151964633573054	5.42906016247848	0.335971297345215	3.75812087751727
HPD95.upper	-5216.26929133952	0.761784060533688	0.0244773042468498	0.0371391803913247	8.51139617872103	0.428465990797811	4.5762299944241
ACT	2291.43338528885	2000	2991.30997818602	3444.29157303636	2000	2671.89544283459	2818.17359868352
ESS	786.407325462288	901	602.411656812901	523.184510308871	901	674.42758841202	639.421219772191
n.samples	901	901	901	901	901	901	901
chain.length	2e+06	2e+06	2e+06	2e+06	2e+06	2e+06	2e+06
log.every	2000	2000	2000	2000	2000	2000	2000
