trace	likelihood	lambda	birthrate	treeheight	treelength
mean	-3633.52726441027	0.206121505087766	7.43584588214936	0.322729536105472	3.43064312360334
stderr.of.mean	0.157093766364797	0.000382218618498672	0.0291029714054633	0.000882042185639588	0.00484054917400655
stdev	4.15808216082009	0.0111513299532587	0.777705318367804	0.0237237055033976	0.139312481728271
variance	17.2896472561303	0.000124352159726446	0.604825562217568	0.000562814202811937	0.0194079675652897
median	-3633.02033399183	0.205207180297801	7.40244242495682	0.320355937376646	3.42806317413248
mode	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	0.205822288099489	7.39494746958429	0.321873454019843	3.42781774568983
HPD95.lower	-3641.28501620858	0.187957173231164	5.9082567950465	0.28122479501804	3.17324890281934
HPD95.upper	-3625.23499424726	0.230534387009612	8.95484918348191	0.371661258531155	3.7114188692991
ACT	2569.23447171347	2114.6685841268	2520.67292353666	2488.2019948397	2173.10736635206
ESS	701.376234765451	852.142985206398	714.888466160727	724.217729805369	829.227321163137
n.samples	901	901	901	901	901
chain.length	2e+06	2e+06	2e+06	2e+06	2e+06
log.every	2000	2000	2000	2000	2000
