trace	likelihood	lambda	alpha	beta	birthrate	treeheight	treelength
mean	-10402.7217560788	0.342158796029172	0.0198890750120088	0.492981913768706	6.75299853992373	0.334899903765345	2.49497975397583
stderr.of.mean	0.131720799102424	0.00144630157615773	0.000462024825295443	0.000449449053110332	0.0298716173566004	0.00136298146711123	0.0124037109120821
stdev	3.42063516191745	0.0348306514998002	0.0137305676552982	0.0109438073529176	0.883217853132859	0.0370718252891389	0.315555672025321
variance	11.700744910946	0.00121317428390054	0.000188528488136721	0.000119766919377773	0.780073776092616	0.00137432023026844	0.0995753821473517
median	-10402.3809911994	0.339897778577818	0.0180616946477971	0.493433936682813	6.7434360406173	0.331703473929319	2.48759149236552
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	0.340414673507323	0.0139806156931026	0.492860062735993	6.69411095405088	0.332874301139896	2.47505021241998
HPD95.lower	-10409.4822858288	0.28010869481943	6.84006018599738e-06	0.470783175066913	5.08975508727441	0.268591842964252	1.9268819089205
HPD95.upper	-10396.4337900492	0.411750732174645	0.0467367825189055	0.513750853730279	8.43213941182789	0.410751739545823	3.15254311428736
ACT	2669.11429404248	3103.60535176311	2038.10055428379	3035.9598911408	2058.9877632149	2433.12225311796	2781.14260811646
ESS	675.130324700633	580.615057573706	884.156572261589	593.551978489042	875.187328547482	740.612189827618	647.935130956989
n.samples	901	901	901	901	901	901	901
chain.length	2e+06	2e+06	2e+06	2e+06	2e+06	2e+06	2e+06
log.every	2000	2000	2000	2000	2000	2000	2000
