trace	likelihood	lambda	alpha	beta	birthrate	treeheight	treelength
mean	-9237.99889929314	1.05257240946984	0.0990500598959906	0.515616887737224	7.33083693661832	0.232922755714992	1.68719323621493
stderr.of.mean	0.170534614881269	0.00383616323598709	0.000460585876382598	0.000562087544623689	0.0334354479439976	0.0017353320093229	0.012808834996508
stdev	4.24828389341791	0.110915182832299	0.0120154768344427	0.015595256427601	0.930410328273433	0.0379121945870969	0.337464282851227
variance	18.047916039074	0.0123021777827222	0.000144371683559029	0.000243212023042631	0.865663378957877	0.0014373344984099	0.113882142200293
median	-9237.44398373521	1.04545280237146	0.0999378740989909	0.516100314515987	7.35339294081318	0.230738193450696	1.6616238873008
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	1.04679235949039	0.0982792728313074	0.515380151767134	7.27098924651238	0.22988089761241	1.6544534683776
HPD95.lower	-9245.74053090637	0.833083711268204	0.0745917142295633	0.487606670661854	5.58192930270985	0.164345329737033	1.08529424730575
HPD95.upper	-9230.32999399576	1.24997558957106	0.121161455209943	0.547198127448218	9.07426302366116	0.308859951572581	2.380774371114
ACT	2900.48081067879	2153.19879430621	2644.91171888789	2338.27104790799	2324.54102508504	3771.19747886969	2593.19755358049
ESS	621.276304730417	836.894393943142	681.308183986455	770.654882637415	775.206795902463	477.832309258994	694.894994603068
n.samples	901	901	901	901	901	901	901
chain.length	2e+06	2e+06	2e+06	2e+06	2e+06	2e+06	2e+06
log.every	2000	2000	2000	2000	2000	2000	2000
