trace	likelihood	lambda	alpha	beta	birthrate	treeheight	treelength
mean	-9257.68860956693	0.381641789152094	0.00874137265110136	0.24320069949867	7.27705650578019	0.348693798267888	1.86696335270944
stderr.of.mean	0.099542591588333	0.000690109671235389	0.000217134496051497	0.00019096211796144	0.0327195052484597	0.000975973601411919	0.0049152491623107
stdev	2.98627590426809	0.020703277357249	0.00574014195995261	0.0056176311579989	0.889490824143306	0.02660410027226	0.125119392406906
variance	8.91784377641222	0.000428625693331178	3.29492297204086e-05	3.155777982732e-05	0.791193926235138	0.000707778151296465	0.0156548623562732
median	-9257.39190481712	0.380877886074126	0.007810268482609	0.243290225326282	7.29491840101444	0.347695761476616	1.86252099811237
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	0.381084051190192	0.00628199376336941	0.243135740345345	7.22171739686139	0.347691747689892	1.86277726566463
HPD95.lower	-9263.42378225339	0.343015723275309	1.10208407060177e-06	0.232637613688225	5.52483234403094	0.299162717945621	1.62131111480172
HPD95.upper	-9252.21468961982	0.421542306014723	0.0192371900968184	0.254403295722607	9.01862226794373	0.402893841689016	2.10647893390858
ACT	2000	2000	2575.63520677469	2079.98389670666	2435.580455984	2422.42845065742	2777.88198400105
ESS	901	901	699.633238146537	866.352861122241	739.864698607122	743.88161991367	648.695664674902
n.samples	901	901	901	901	901	901	901
chain.length	2e+06	2e+06	2e+06	2e+06	2e+06	2e+06	2e+06
log.every	2000	2000	2000	2000	2000	2000	2000
